week,date,rank,skater,trick,line,switch,slowmo,ig,replayed,slam,NY,obstacle,obstacledetail,location,notes,points
1,1/8/2021,10,Dylan Clark,Nollie inward heelflip to firecracker,,1,1,,,,1,Gap,Over barrier,Max Palmer Park,,1
1,1/8/2021,9,Hugo Corbin,Nose manual to nose manual to nose manual to nose manual to nollie kickflip,,,,,,,,Pad,,,Combo,2
1,1/8/2021,8,Axel Lindquist,360flip,1,,1,,1,,,gap,Flat gap,,,3
1,1/8/2021,7,Ryan Townley,Bs nosebluntslide,,,,,,,,ledge,Ledge to drop,,,4
1,1/8/2021,6,Charlie Munro,Switch fs crooked to bs 5-0 to fakie,,1,1,,1,,,ledge,,Milano Centrale,,5
1,1/8/2021,5,Billy McFeely,Fs lipslide,,,,1,1,,1,hubba,Up hubba,Flushing Fountain,,6
1,1/8/2021,4,Troy Gipson,Bs 360 ollie kickflip,,,,,1,,,stairs,,,,7
1,1/8/2021,3,Josef Scott Jatta,Switch ollie,1,1,,,,,,gap,Over rail,,,8
1,1/8/2021,2,Junior,Fs 50-50,,,1,,1,,,handrail,,Hollywood High,,9
1,1/8/2021,1,Simon Hallberg,Fs 180 to switch bs crooked to fs half cab,,,1,,1,,,Flat rail,Curved rail,,,10
2,1/15/2021,10,Jack Bartoluccii,Bs wallie to bs wallride,,,1,,1,,,wall,Wallride down stairs,,,1
2,1/15/2021,9,Thomas Dritsas,360flip,,,1,,,,,gap,Over trash can,,Over 3 barrels,2
2,1/15/2021,8,Heitor Da Silva,Fakie ollie to fakie manual,1,,,,,,,pad,,,,3
2,1/15/2021,7,Olli Lilja,Bs 180 to switch bs 5-0,,,1,,,1,,hubba,,,,4
2,1/15/2021,6,Dakota Overbaugh,Fs sugarcane,,,1,,1,,,ledge,Gap to ledge into bank,,,5
2,1/15/2021,5,Hosea Peeters,Bs 360 ollie,,,,,,,,Stairs,,,,6
2,1/15/2021,4,Tony Gomez,Fs 50-50,,,1,,1,1,,ledge,Curved bench,,"Incorrect name, corrected",7
2,1/15/2021,3,Lucien Genand,Bs wallride,,,1,,,,,wall,,,,8
2,1/15/2021,2,Brian O’Dwyer,Ride-on fakie fs crooked to fakie kickflip,,,1,,,,,ledge,,,,9
2,1/15/2021,1,Jake Sanso,Pressure flip,,,1,,,,,gap,Big drop,,,10
3,1/22/2021,10,Nika Washington,360flip,,,,1,,,,stairs,,,Woman,1
3,1/22/2021,9,Dustin Henry,Switch bs tailslide to transfer kickflip,,1,,1,,,,curb,,,,2
3,1/22/2021,8,David Jakinda,Nollie hardflip,1,1,1,,1,,,flat,Into bank,,,3
3,1/22/2021,7,Taizo Mukk,Switch bs heelflip,1,,,,1,,,flat,,,6 trick line,4
3,1/22/2021,6,Hart Pullman,Pole jam 50-50 to fs 50-50,,,,,,,,Flat rail,Pole to flat rail to into bank,,polejam,5
3,1/22/2021,5,Roman Lisivka,Bs shove to nose manual to nollie varial flip,,,,,,,,Pad,,,,6
3,1/22/2021,4,Brian Powderly,Nose manual,1,,,,,,,Pad,,,,7
3,1/22/2021,3,Casper Brooker,Bs bluntslide to kickflip,,,,1,,,,ledge,Out ledge,,,8
3,1/22/2021,2,Aidan Olmstead,Bs boardslide to fakie,,,,,,,,ledge,Ledge to flat rail,,,9
3,1/22/2021,1,Flo Mirtain,Kickflip bs bluntslide,,,1,,1,,,ledge,,Hotel de Ville,,10
4,1/29/2021,10,Connor Noll,Bs wallride to kickflip,1,,1,,,,,wall,,,5 trick line,1
4,1/29/2021,9,Ben Lawrie,Bs noseslide to nollie bs noseslide,,,1,,,,,ledge,Ledge to ledge,,Combo,2
4,1/29/2021,8,Johan Bergljung,Fakie bs 5-0 to fs half cab,1,,,,1,,,ledge,,,5 trick line,3
4,1/29/2021,7,Nora Vasconcellos,Bs bigspin to disaster,1,,1,,,,,transition,Concrete park,,,4
4,1/29/2021,6,Rowan Davis,Bs 180 to switch bs 5-0 to switch bs 180,1,,,,,,,ledge,Out ledge,,,5
4,1/29/2021,5,Tyler Hannah,Fs tailslide to fs 360 kickflip,,,1,,1,,1,ledge,Out ledge,Pyramid Ledges,,6
4,1/29/2021,4,Shareef Grady,Switch fs 180,1,1,,,,,,stairs,,SF Hills,,7
4,1/29/2021,3,Tommy Bjork,Ollie to 360flip,,,1,,1,,,Pad,,,Quick footed,8
4,1/29/2021,2,Roman Lisivka,Fakie fs 5-0 to fakie varial flip,1,,,,1,,,ledge,,,Triple replay,9
4,1/29/2021,1,Henry Gartland,ollie,,,,,1,,,gap,Launch ramp,Dime Glory 2018,In Memoriam,10
5,2/5/2021,10,Adam Zhu,Fakie fs 5-0 to fakie kickflip,,,,1,,,,ledge,,,Inside skateshop,1
5,2/5/2021,9,Garett Young,Kickflip bs crooked,1,,,,,,,ledge,Out ledge,,5 trick line,2
5,2/5/2021,8,Chris Athans,kickflip,1,,,,,,,flat,Into bank,SF Hills,,3
5,2/5/2021,7,Layth Sami,hardflip,1,,,,,,,stairs,,,4 hardflip line,4
5,2/5/2021,6,Avi Malina,Fs heelflip,,,,,1,,,gap,Over rail into bank,,,5
5,2/5/2021,5,Alex Tennison,Fs 50-50 to fs 50-50,1,,,,,,,ledge,Ledge to ledge,,,6
5,2/5/2021,4,O’Connor Nelson,Drop in,,,,,1,1,,bank,Drop in,Construction debris,Crazy obstacle,7
5,2/5/2021,3,Terrill Jefferson,Bs nosebluntslide,,,,,1,,,handrail,,,,8
5,2/5/2021,2,Antonio Durao,Switch Fs bluntslide to fakie,,1,,,,,1,ledge,,Flushing Fountain,,9
